Experimental inhibitory activities against 3CLpro,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_activities (Active-1/Inactive-0)
1,s1c2cc(ccc2nc1)C(O)=O,601670,1
2,N=1c2c3c(cccc3N(C)C=1C)ccc2,215090,1
3,OC(=O)CCN(CC(C)C)CC(C)C,2057165,1
4,O(C(=O)c1ccc(OC)cc1)c1cccnc1,1120962,1
5,s1c(cc(C(OC)=O)c1N)-c1ccccc1,705256,1
6,Clc1cc(cc(Cl)c1OC)C(=O)NN,211186,1
7,O(C(=O)c1ccccc1[N+](=O)[O-])c1cccnc1,3878400,1
8,Clc1cc2nn(nc2cc1N)-c1ccccc1,736374,1
9,O1c2c(ccc(OC(=O)CCC)c2)C(=CC1=O)C,87247,1
10,OC(=O)c1n(c2c(cccc2)c1C=O)CC(O)=O,3640363,1
11,s1c(cc(C(OCC)=O)c1N)-c1ccccc1,638860,1
12,O=C(n1c2c(nc1)cccc2)c1cc(C)c(cc1)C,741948,1
13,ClCC(=O)c1cc(n(Cc2occc2)c1C)C,1537038,1
14,O(C(=O)c1ccccc1)c1cc2ncn(c2cc1)C,2310813,1
15,O=C(C)c1cc([nH]c1N1CCCC1)-c1ccccc1,880528,1
16,ClC(Cl)=C(NC(=O)c1ccc(cc1)C)C#N,843322,1
17,Brc1c2c([n+](ccc2)C)c([O-])cc1.O,16682477,1
18,Clc1ccccc1\C=C\C(=O)Nc1cccnc1,676085,1
19,Clc1cc(NC(=O)Nc2cccnc2)ccc1C,2815694,1
20,O1CCN(CC1)CCNC(=O)c1cc(C)c(cc1)C,1105927,1
21,O=C1c2c(N(C\C=C\c3ccccc3)C1=O)cccc2,2057118,1
22,O=Cc1cn(nc1-c1cccnc1)Cc1ccccc1,2497380,1
23,O=C1c2c(N(CCCc3ccccc3)C1=O)cccc2,2282752,1
24,S=C(Nc1cccc(C)c1C)NN1CCOCC1,2917531,1
25,O(C(=O)c1ccc(cc1)C)c1cc2ncn(c2cc1)C,2999977,1
26,Clc1cc(ccc1Cl)C(NC(=O)CCl)C,3686662,1
27,ClCC(=O)N1CCN(CC1)Cc1cc(ccc1)C,2454965,1
28,Clc1cc(Cc2cc(Cl)ccc2O)c(O)cc1,3037,1
29,Fc1ccccc1C1CC(=O)Nc2c1cc(C)c(c2)C,2898168,1
30,Cl.Clc1ccc(cc1)C(Oc1cccnc1)=O,6602830,1
31,O1c2c(ccc(OC(=O)c3occc3)c2)C(=CC1=O)C,728528,1
32,O=C1N(C)C(=O)N=C2N(N=C(N=C12)c1ncccc1)C,906542,1
33,O1CCN(CC1)c1[nH]c(cc1C(=O)C)-c1ccccc1,3237586,1
34,O(C(=O)c1ccc(OCCCC)cc1)c1cccnc1,4621376,1
35,Clc1ccc(cc1)C(=O)Cn1nnc2c1cccc2,677475,1
36,s1cccc1C(Oc1cc2OC(=O)C=Cc2cc1)=O,1121490,1
37,s1c2c(nc1-c1nc(nc(n1)N)N(C)C)cccc2,1249482,1
38,ClCC(=O)Nc1ccccc1C(=O)c1ccccc1,2064069,1
39,Brc1cc(cc(OCC)c1OC)C(=O)N,900806,1
40,O(C)c1ccc(cc1)\C=C(/C#N)\c1c2c([nH]c1)cccc2,2440506,1
41,s1ccnc1NC(=O)C(Oc1cc(ccc1C)C)C,4944777,1
42,Clc1cccc(F)c1\C=C\C(=O)Nc1cccnc1,887990,1
43,O=[N+]([O-])\C=C\c1c2c(n(c1)Cc1ccccc1)cccc2,826461,1
44,O=C(Nc1cc([N+](=O)[O-])ccc1)CN1CCN(CC1)C,972394,1
45,O(C)c1ccc(N\C=C\2/CCc3c(cccc3)C/2=O)cc1,765284,1
46,Clc1cnn(C)c1C(=O)Nc1cc2OCOc2cc1,6470895,1
47,Clc1cc(ccc1Cl)CC(=O)Nc1cccnc1,2530053,1
48,S(CC(=O)Nc1nonc1[N+](=O)[O-])c1ncccc1,4917203,1
49,O(CCN1c2c(cccc2C)C(=O)C1=O)c1ccccc1,2145491,1
