Experimental pIC-50 values of inhibitor molecules against angiotensin converting enzymes (ACE),,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_IC-50 values (microM)
1,S(CCCc1ccccc1)[C@@H]1N(C(=O)[C@@H](CS)C)[C@@H](CC1)C(O)=O,44586761,2.90E-05
2,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)CCCCN,5362119,1.00E-04
3,S[C@H](Cc1ccccc1)C(=O)N[C@H]1Cc2c(C3N([C@H](CCC3)C(O)=O)C1=O)cccc2,44404945,0.00011
4,P(O[C@@H](CCCCN)C(=O)N(CC(O)=O)c1cc2OCOc2cc1)(O)(=O)CCCCc1ccccc1,14630801,0.0001148
5,SC[C@H](C(=O)N1CCC[C@H]1C(O)=O)C,44093,0.00012
6,P(O[C@@H](CCCCN)C(=O)N1C[C@H](C[C@H]1C(O)=O)c1ccccc1)(O)(=O)CCCCc1ccccc1,14630739,0.0001318
7,S(CCc1ccccc1)[C@@H]1N(C(=O)[C@@H](CS)C)[C@@H](CC1)C(O)=O,44586760,0.00018
8,Ic1ccc(NC(=O)CCC(N[C@H](C(=O)N2CCC[C@H]2C(O)=O)C)C(O)=O)cc1,44317124,0.0002291
9,O(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)N[C@H](CCC(=O)N1c2c(C[C@H]1C(O)=O)cccc2)C(O)=O,44317024,0.0002512
10,P(O[C@@H](CCCCN)C(=O)N(CC(O)=O)c1cc(OC)c(OC)cc1)(O)(=O)CCCCc1ccccc1,14630797,0.0002884
11,P(O[C@@H](CCCCN)C(=O)N(CC(O)=O)C1CCCCC1)(O)(=O)CCCCc1ccccc1,14630782,0.0002951
12,P(O[C@@H](CCCCN)C(=O)N1c2c(C[C@H]1C(O)=O)cccc2)(O)(=O)CCCCc1ccccc1,3082827,0.0002951
13,S([C@H]1C[C@H](N(C1)C(=O)[C@@H](CSC(=O)c1ccccc1)C)C(O)=O)c1ccccc1,92400,0.0004
14,Clc1cc(cc(Cl)c1)Cn1cncc1C[C@H](N[C@@H](CC(C)C)C(O)=O)C(O)=O,448281,0.00044
15,P(O[C@@H](CCCCN)C(=O)N1C[C@H](C[C@H]1C(O)=O)C1CCCCC1)(O)(=O)CCCCc1ccccc1,14630735,0.0004898
16,S1CCSC12C[C@H](N(C2)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)CCCCN)C(O)=O,14540996,0.0005
17,S([C@H]1C[C@H](N(C1)C(=O)[C@@H](OP(O)(=O)CCCCc1ccccc1)CCCCN)C(O)=O)c1ccccc1,14630751,0.0005248
18,S(C)[C@@H]1C[C@H](N(C1)C(=O)[C@@H](OP(O)(=O)CCCCc1ccccc1)CCCCN)C(O)=O,14630755,0.0005248
19,S1C[C@H](N2C1CCC[C@H](NC(CCc1ccccc1)C(O)=O)C2=O)C(O)=O,44352073,0.0006
20,S1[C@H]2N([C@@H](C1)C(O)=O)C(=O)[C@@H](NC(CCc1ccccc1)C(O)=O)CCC2,44368554,0.0006
21,S1[C@H]2N([C@@H](C1)C(O)=O)C(=O)C(NC(CCc1ccccc1)C(O)=O)CCC2,44317014,0.0006026
22,S1CCSC12C[C@H](N(C2)C(=O)[C@@H](OP(O)(=O)CCCCc1ccccc1)CCCCN)C(O)=O,14630765,0.000631
23,S([C@@H]1C[C@H](N(C1)C(=O)[C@@H](OP(O)(=O)CCCCc1ccccc1)CCCCN)C(O)=O)c1ccccc1,14630749,0.0007762
24,Ic1ccc(NC(=O)CCC(NC(C(=O)N2CCCC2C(O)=O)C)C(O)=O)cc1,44337769,0.0007943
