Experimental molecular inhibitory activities against Replicase_Polyprotein,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_activities (Active-1/Inactive-0)
1,C1=CC=C(C=C1)COC2=CC=C(C=C2)/C(=C/C(=O)C(=O)O)/O,44511706,1
2,C1=CC(=CC(=C1)OCC2=CC=C(C=C2)Cl)/C(=C/C(=O)C(=O)O)/O,25256828,1
3,C1=CC(=CC(=C1)NCC2=CC=C(C=C2)Cl)/C(=C/C(=O)C(=O)O)/O,25072274,1
4,C1=CC=C(C(=C1)/C(=C/C(=O)C(=O)O)/O)OCC2=CC=C(C=C2)Cl,44511707,1
5,C1=CC=C(C=C1)CNC2=CC=CC(=C2)/C(=C/C(=O)C(=O)O)/O,25256829,1
6,C1OC2=C(O1)C=C(C=C2)C3=C(C(=O)C4=C(C=C(C=C4O3)OCC5=CC(=CC=C5)Cl)O)O,45268452,1
7,C1=CC(=CC=C1COC2=CC(=C3C(=C2)OC(=C(C3=O)O)C4=CC(=C(C=C4)O)O)O)Cl,45270979,1
8,C1OC2=C(O1)C=C(C=C2)C3=C(C(=O)C4=C(C=C(C=C4O3)OCC5=CC=C(C=C5)Cl)O)O,45271831,1
9,C1OC2=C(O1)C=C(C=C2)C3=C(C(=O)C4=C(C=C(C=C4O3)OCC5=CC(=CC=C5)C#N)O)O,45271832,1
10,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,5280343,1
11,C1=CC(=CC(=C1)Cl)COC2=CC(=C3C(=C2)OC(=C(C3=O)O)C4=CC(=C(C=C4)O)O)O,45271826,1
12,C1=CC(=CC(=C1)C#N)COC2=CC(=C3C(=C2)OC(=C(C3=O)O)C4=CC(=C(C=C4)O)O)O,44517748,1
13,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC)O)C4=C(C=C(C5=C4OC(=CC5=O)C6=CC=C(C=C6)O)O)O,5271805,1
14,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)OC)O)OC,5281696,1
15,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O)O,5281600,1
16,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C)O,442027,1
17,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,5280445,1
18,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(C=C3)C(=O)O)C4=CC=CC=C4,52947200,1
19,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(C=C3)C(=O)O)C4=CC(=CC=C4)[N+](=O)[O-],49870841,1
20,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C#N,49870840,1
21,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)F,49870842,1
22,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(C=C3)C(=O)O)C4=CC(=C(C=C4)Cl)Cl,52943127,1
23,C1=CC=C(C=C1)C\2=NN(C(=O)/C2=C\C3=CC=C(C=C3)C(=O)O)C4=CC(=CC=C4)Cl,52949213,1
24,COC1=CC=C(C=C1)N2C(=O)/C(=C\C3=CC=C(C=C3)C(=O)O)/C(=N2)C4=CC=CC=C4,52945913,1
