Experimental pIC-50 values of inhibitor molecules against Replicase Polyprotein,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_IC-50 values (microM)
1,Brc1cc(OC(=O)c2occc2)cnc1,16203681,0.050000001
2,Clc1cc(OC(=O)c2occc2)cnc1,7230550,0.059999999
3,Clc1ccc(cc1)-c1oc(cc1)C(Oc1cc(Cl)cnc1)=O,16203797,0.063000001
4,Clc1cc(OC(=O)c2[nH]c3c(c2)cccc3)cnc1,16204322,0.064999998
5,Clc1cc(OC(=O)c2sc3c(c2)cccc3)cnc1,2800273,0.094999999
6,Clc1sc(Cl)cc1CSC(=S)NCc1cccnc1,2806068,0.16
7,Clc1cc(OC(=O)c2oc3c(c2)cccc3)cnc1,16204318,0.17
8,O=C1NCC[C@H]1C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(OCc1ccccc1)=O)Cc1c2c(ccc1)cccc2)CC(C)C)C=O,71544385,0.23
9,Clc1cc(OC(=O)c2ncsc2)cnc1,16203796,0.27000001
10,Clc1cc(OC(=O)c2cc(OC)ccc2)cnc1,16204324,0.34
11,o1cc(c2c1-c1c(c3c(cc1)c(ccc3)C)C(=O)C2=O)C,114917,0.69999999
12,O1C[C@@H](C2=C1c1c(c3c(cc1)C(CCC3)(C)C)C(=O)C2=O)C,160254,0.80000001
13,Clc1cc(S(=O)(=O)N(CC(=O)NC2CCCC2)C)ccc1,4788586,0.94
14,Ic1cc2c(N(Cc3sc4c(c3)cccc4)C(=O)C2=O)cc1,11796320,0.94999999
15,Brc1c2N(Cc3sc4c(c3)cccc4)C(=O)C(=O)c2ccc1,11667869,0.98000002
16,S(=O)(=O)(N1CCC(CC1)C)c1cc2c(N(C)C(=O)C2=O)cc1,73057089,1.04
17,S(=O)(=O)(N1CCC(CC1)C)c1cc2c(NC(=O)C2=O)cc1,4117477,1.1799999
18,O1C[C@@H](C2=C1c1c(c3c(cc1)c(ccc3)C)C(=O)C2=O)C,11425923,1.2
19,o1cc(c2c1-c1c(c3c(cc1)C(CCC3)(C)C)C(=O)C2=O)C,164676,1.6
20,S(=O)(=O)(N1CCC(CC1)C)c1cc2c(N(Cc3ccccc3)C(=O)C2=O)cc1,73057090,1.6900001
21,s1c2c(cc1CN1c3c(cccc3[N+](=O)[O-])C(=O)C1=O)cccc2,44398343,2
22,O(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)C1CCN(CC1)C(OC(C)(C)C)=O,145966788,2.0999999
23,FC(F)(F)c1[nH]c2c(n1)ncnc2N,3635406,2.2
24,S(=O)(=O)(N1CCCCC1C)c1cc2c(NC(=O)C2=O)cc1,73056762,2.25
25,O1c2c(C(=O)C(O)=C1c1cc(O)c(O)cc1)c(O)cc(OCc1cc(ccc1)C#N)c2,44517748,2.7
26,S(=O)(=O)(N1CC(CC(C1)C)C)c1cc2c(N(C)C(=O)C2=O)cc1,73057092,2.8199999
27,S(C(=O)c1oc(cc1)C#Cc1ccccc1)c1nc([nH]n1)C(F)(F)F,2822496,3
28,O(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)C1CCN(CC1)C(OCC)=O,145972878,3.2
29,S(=O)(=O)(N1CCC(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)(CC1)Cc1ccccc1)C,145972736,3.9000001
30,Clc1ccc(cc1)COc1cc(O)c2c(OC(=C(O)C2=O)c2cc(O)c(O)cc2)c1,45270979,4.0999999
31,S(=O)(=O)([O-])C(O)[C@@H](NC(=O)[C@@H](NC(OC1(CCN(CC1)C(OC(C)(C)C)=O)CC)=O)CC(C)C)C[C@@H]1CCNC1=O.[Na+],145972809,4.0999999
32,S(=O)(=O)(N1CC(CC(C1)C)C)c1cc2c(NC(=O)C2=O)cc1,76320984,4.3000002
33,S(=O)(=O)(N1CCC(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(S(=O)(=O)[O-])O)(CC1)Cc1ccccc1)C.[Na+],145967285,4.3000002
34,S(=O)(=O)(N1CCCCC1)c1cc2c(NC(=O)C2=O)cc1,4117383,4.4499998
35,O(Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C#N)C,71571222,4.5999999
36,S(=O)(=O)(N1CC(CC(C1)C)C)c1cc2c(N(Cc3ccccc3)C(=O)C2=O)cc1,73057388,4.6999998
37,s1c2c(cc1CN1c3c(cc(F)cc3)C(=O)C1=O)cccc2,44398207,4.8200002
38,s1c(ccc1C(=O)Nc1onc(C)c1[N+](=O)[O-])-c1n(nc(c1)C(F)(F)F)C,3776668,5
39,S(=O)(=O)([O-])C(O)[C@@H](NC(=O)[C@@H](NC(OC1CCN(CC1)C(OC(C)(C)C)=O)=O)CC(C)C)C[C@@H]1CCNC1=O.[Na+],145975487,5.0999999
40,Clc1cc(ccc1)COc1cc(O)c2c(OC(=C(O)C2=O)c2cc(O)c(O)cc2)c1,45271826,5.1999998
41,O(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)C1(CCN(CC1)C(OC(C)(C)C)=O)Cc1ccccc1,145976006,5.1999998
42,OC(=O)C(=O)\C=C(/O)\c1cc(NCc2ccccc2)ccc1,25256829,5.4000001
43,O=C/1N(N=C(\C\1=C\c1ccc(cc1)C(O)=O)c1ccccc1)c1ccc(cc1)C#N,49870840,5.5
